time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:38:08,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,87,44.73,86.05,86.4,0,0
10:38:09,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,77,86.05,86.4,0,0
10:38:10,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.73,120,86.4,0,0
10:38:11,0,0,11.48,21,5,-39,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,120,0,0
10:38:12,0,0,26,21,5,-39,0,22,34,21,50.4,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:38:13,0,0,11.48,21,5,-39,0,22,6.6,21,98,19,3,21,8.4,27,52,31,44.6,44.72,86.07,86.42,0,0
10:38:14,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,34,27,52,31,44.59,44.74,86.1,86.47,0,0
10:38:15,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,77,31,44.59,44.74,86.1,86.47,0,0
10:38:16,0,0,11.49,21,5,-39,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,88,44.74,86.1,86.47,0,0
10:38:17,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,87,85.99,86.43,0,0
10:38:18,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,100,97,0,0
10:38:19,0,0,11.45,21,5,-39,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.53,44.69,89,100,0,0
